,GEO_NAME,employed,unemployed,5 to 14 years,african american,all occupations,average total income of household in 2020 ($),between 7 a.m. and 7:59 a.m.,"black, n.o.s.","caucasian (white), n.o.s.",chinese,filipino,government transfers (%),indigenous identity,major repairs needed,median value of dwellings ($),movers,"no certificate, diploma or degree",not in the labour force,one-maintainer household,"postsecondary certificate, diploma or degree",public transit,renter,"south asian, n.o.s.",spending 30% or more of income on shelter costs,total visible minority population,under 5 years,average number of rooms per dwelling,2000 and before,65 years and over
10,59150331,0.12,-1.67,-0.54,7.51,0.6,0.22,0.26,-0.09,-0.63,0.78,0.11,0.26,-0.21,-0.6,0.26,0.15,1.32,0.35,-0.32,-1.71,1.27,-0.42,-0.15,-0.88,0.58,0.52,0.29,-0.72,0.53
11,59150332,-1.0,0.73,-0.88,-0.1,-0.15,0.14,-0.15,-0.09,-0.63,1.34,0.14,0.29,0.11,-0.44,0.21,-1.71,1.36,1.02,-1.18,-1.43,0.04,-0.91,-0.15,-0.82,0.66,0.13,0.61,-0.16,-0.13
12,59150333,-0.55,0.94,-1.12,-0.1,0.6,0.25,0.79,-0.09,-0.63,1.42,-0.85,0.41,-0.46,0.56,0.37,-0.62,1.53,0.13,-1.11,-1.2,0.53,-0.52,-0.15,-0.81,0.34,0.13,0.35,0.12,0.26
13,59150334,-0.38,0.08,-0.66,-0.1,-0.23,-0.76,-0.45,-0.09,1.24,0.3,-0.44,-0.79,-0.46,-0.25,0.26,-0.43,2.04,-0.25,-1.15,-1.36,-0.36,-0.66,-0.15,-0.47,0.02,0.28,0.67,-0.66,0.37
14,59150335,0.62,0.14,0.14,-0.1,-0.97,0.27,-0.37,-0.09,1.55,1.3,-0.31,0.72,0.6,-0.22,0.4,-0.06,1.5,0.05,-0.07,-0.97,-0.16,-0.07,-0.15,-0.23,0.59,-0.29,0.03,-1.44,-0.21
15,59150336,0.13,-0.44,0.27,-0.1,0.6,-0.0,1.56,-0.09,-0.63,0.81,-0.85,-0.05,-0.46,-0.35,0.15,-0.34,0.78,0.18,-0.97,-0.62,-1.18,-0.83,-0.15,-0.9,0.17,-0.59,1.12,-0.35,1.03
16,59150337,0.03,1.09,0.86,-0.1,-0.41,0.06,1.4,-0.09,-0.63,-0.3,0.17,-0.08,0.02,-1.17,0.26,-1.2,0.23,-0.37,-0.9,-0.19,-0.38,-0.81,-0.15,-1.29,-0.82,-0.07,0.92,0.68,-0.05
17,59150338,-0.09,-0.13,0.27,-0.1,0.17,-0.05,-0.71,-0.09,-0.63,0.19,0.09,-0.14,-0.46,0.37,0.26,-1.25,0.02,-0.19,-1.39,-0.18,-0.29,-1.06,-0.15,-1.22,0.02,0.62,0.73,0.73,0.25
18,59150339,-0.19,-0.72,-1.12,-0.1,-0.2,-0.18,0.62,-0.09,-0.63,0.13,-0.47,-0.63,-0.46,-1.17,0.26,-0.96,1.41,-0.59,-0.77,-0.55,-0.95,-0.99,-0.15,-1.16,-0.63,-0.39,0.73,-0.3,0.38
19,59150340,0.19,0.46,-1.19,-0.1,0.12,0.27,1.34,-0.09,-0.63,0.96,-0.22,0.57,-0.46,-0.14,0.37,-0.06,0.76,-0.12,-0.09,-1.04,0.66,-0.56,-0.15,-0.85,0.57,-1.4,0.67,0.31,0.02
20,59150341,0.34,-2.16,0.86,-0.1,0.6,0.36,0.08,-0.09,-0.63,0.34,-0.85,1.1,0.21,0.79,0.21,-0.34,1.62,0.65,-1.32,-0.85,-0.5,-0.17,-0.15,-0.46,-0.35,-1.4,0.35,0.49,-0.08
21,59150342,-1.02,2.25,-0.57,-0.1,0.6,0.08,-2.87,-0.09,1.75,0.55,-0.34,-0.08,-0.46,-0.08,0.26,-0.28,0.5,-0.36,-0.09,-0.76,-0.94,-1.25,-0.15,-1.29,-0.12,1.35,0.92,0.7,0.62
22,59150343,0.29,-0.31,-0.22,-0.1,-0.01,0.04,-0.1,-0.09,0.99,-0.82,-0.85,-0.7,0.21,1.07,0.1,-0.68,-0.78,-0.35,0.02,1.23,-0.9,0.69,-0.15,-1.34,-1.53,-1.4,-0.29,1.28,-0.05
23,59150344,0.94,0.59,0.99,-0.1,0.15,0.06,-1.58,-0.09,3.62,-0.98,-0.85,-0.27,-0.46,-0.24,0.37,-1.12,0.37,-0.83,0.47,0.43,-0.86,-0.39,-0.15,0.05,-1.38,0.24,0.22,0.78,-1.01
24,59150345,0.94,-0.12,1.51,-0.1,0.6,0.14,1.06,-0.09,3.62,-1.13,-0.85,-0.76,0.07,0.69,0.32,-0.58,-0.71,-1.15,0.25,0.43,-0.57,0.2,-0.15,0.05,-1.59,0.98,-0.29,0.69,-1.06
25,59150346,1.46,0.46,-0.75,-0.1,0.6,0.06,-0.35,-0.09,-0.63,-1.01,-0.85,-0.24,0.26,0.79,0.26,-0.5,-0.18,-0.98,-0.51,-0.02,0.99,0.18,-0.15,0.2,-1.41,1.57,0.35,0.49,-1.17
26,59150347,1.06,0.67,-2.37,-0.1,-0.31,0.44,0.66,-0.09,-0.63,-1.34,-0.85,-0.12,1.8,-0.05,0.6,0.07,-1.11,-0.5,0.8,0.77,-0.41,1.14,-0.15,1.13,-1.57,-1.4,-0.79,0.48,-0.38
27,59150348,1.1,-0.41,1.22,-0.1,0.25,0.28,-0.93,-0.09,-0.63,-1.28,-0.85,-0.35,0.43,2.69,0.68,0.91,-0.81,-0.8,0.17,1.03,-1.15,0.37,-0.15,0.51,-1.7,-1.4,-0.73,0.88,-0.31
28,59150349,0.19,0.43,3.61,13.84,-0.44,0.33,-0.29,-0.09,-0.63,-1.02,-0.85,0.19,2.79,1.09,0.79,1.61,-0.32,-0.88,1.12,1.25,-0.24,0.89,2.72,-1.42,-0.98,0.8,-0.73,1.28,-0.02
29,59150350,-2.3,0.79,-0.96,-0.1,-0.89,0.67,-1.14,-0.09,-0.63,-1.29,-0.85,3.46,4.83,2.35,0.48,-0.31,2.65,1.46,2.14,-1.27,0.8,1.55,-0.15,-0.99,-1.18,2.04,-0.99,0.99,0.48
30,59150351,2.43,-0.87,1.04,-0.1,0.6,0.14,0.38,-0.09,-0.63,-1.07,-0.51,-0.93,0.53,2.25,0.68,1.22,-0.83,-1.81,-0.52,1.03,-0.23,1.03,-0.15,-0.68,-1.25,-1.4,-0.86,0.57,-1.02
31,59150352,-1.42,0.14,-0.32,-0.1,-0.28,0.74,0.36,-0.09,-0.63,-0.51,0.54,3.29,0.98,-0.27,-3.27,-0.69,1.04,2.2,1.97,-0.91,0.48,2.15,-0.15,-0.43,-0.46,-0.39,-1.37,1.14,2.12
32,59150353,0.79,0.34,0.22,-0.1,0.17,0.37,0.83,-0.09,0.99,-1.04,-0.24,-0.02,0.66,0.22,0.82,0.54,-0.09,0.01,1.02,0.11,-0.24,-0.2,-0.15,0.14,-0.73,0.98,-0.67,0.54,-0.35
33,59150354,0.77,0.64,0.33,-0.1,0.6,0.42,0.54,-0.09,0.18,-0.95,-0.85,0.21,0.74,2.0,0.76,0.59,-0.54,-0.61,-0.09,0.36,1.08,1.41,-0.15,-0.19,-1.11,2.56,-0.92,1.28,-1.27
34,59150355,-0.16,1.57,2.26,-0.1,0.2,0.45,-0.53,-0.09,-0.63,-1.38,-0.85,1.1,7.26,3.31,0.84,0.25,0.83,-0.29,1.02,-0.34,1.83,0.81,-0.15,-0.03,-1.61,3.31,-0.73,1.0,-2.04
35,59150356,1.31,-0.46,1.67,-0.1,0.6,-0.07,0.01,-0.09,-0.63,-1.06,-0.27,-0.68,0.38,0.16,0.15,-0.68,-0.22,-0.96,0.07,0.77,-0.8,-0.59,-0.15,-0.81,-1.64,-1.4,0.03,0.45,-0.66
36,59150357,0.9,0.86,0.27,-0.1,0.17,0.54,-0.42,-0.09,1.04,-1.19,-0.85,0.56,0.57,1.49,0.73,0.61,-0.52,-0.41,1.09,0.39,1.16,1.89,-0.15,0.77,-0.95,-1.4,-1.24,0.89,-0.78
37,59150358,1.53,0.25,1.04,-0.1,0.6,-0.11,-0.65,-0.09,-0.63,-1.21,-0.85,-0.93,-0.46,0.9,0.35,1.28,-0.87,-1.52,-0.55,0.8,0.4,-0.5,-0.15,-0.94,-1.41,0.68,0.35,-0.6,-1.31
38,59150359,0.56,1.65,0.12,-0.1,-0.54,0.49,2.68,-0.09,-0.63,-0.69,2.25,0.89,2.1,1.21,0.84,0.35,-0.62,-0.15,0.78,0.74,2.4,1.17,-0.15,-0.32,-0.24,0.13,-0.99,0.91,-0.37
39,59150360,0.81,0.31,-0.3,-0.1,0.6,0.49,-0.05,-0.09,1.39,-1.25,0.88,0.96,0.38,1.04,-3.27,-0.17,-0.12,-0.14,1.23,0.25,1.93,2.06,-0.15,-0.21,-0.61,-1.4,-0.99,0.98,-0.33
40,59150361,0.73,-0.12,-0.17,-0.1,0.6,0.21,-0.49,-0.09,0.63,-0.62,1.6,0.01,0.26,2.06,0.19,1.07,-0.09,-0.75,-0.97,0.36,1.3,0.15,-0.15,-0.07,-0.56,-0.51,-0.09,0.2,-1.14
41,59150362,0.67,-0.01,-1.32,-0.1,0.6,0.12,-2.19,-0.09,-0.63,0.35,1.22,0.17,-0.46,-0.05,0.48,-0.42,0.27,-0.68,-0.9,-0.26,1.08,-0.54,-0.15,-1.57,0.17,-0.11,0.03,-0.07,-0.54
42,59150363,1.7,-0.85,-0.96,-0.1,0.6,-0.12,-0.27,-0.09,-0.63,-1.05,0.5,-1.06,-0.02,0.22,0.38,-0.12,-0.35,-1.1,-1.27,1.19,0.23,-0.73,-0.15,-0.64,-0.67,1.17,0.22,-0.46,-1.42
43,59150364,0.05,0.63,-0.28,-0.1,0.6,-0.18,-0.02,-0.09,-0.63,-0.14,-0.22,-0.65,0.45,1.34,0.42,0.77,-0.29,-0.71,-1.25,0.04,-0.05,-0.11,-0.15,-1.17,-0.35,1.15,0.16,-0.07,0.42
44,59150365,1.23,-0.61,-0.35,-0.1,0.6,0.1,2.31,-0.09,-0.63,-0.69,-0.5,-0.22,-0.46,1.13,0.41,-0.11,-0.7,-0.26,-0.32,-0.19,-0.5,0.21,-0.15,-0.95,-0.65,1.9,-0.09,0.35,-0.24
45,59150366,0.9,0.06,-1.46,-0.1,0.39,0.2,0.7,-0.09,0.74,-0.51,-0.37,-0.29,0.0,0.3,0.26,1.51,0.23,-0.46,-0.92,0.5,0.33,0.66,-0.15,-0.12,-0.72,0.44,-0.29,-0.94,-0.95
46,59150367,1.39,-0.24,-0.53,-0.1,0.6,0.29,1.0,-0.09,3.27,-0.77,-0.4,-0.5,-0.15,-0.6,0.48,1.81,-0.63,-1.05,0.33,0.64,0.51,0.81,2.85,0.48,-0.53,1.11,-0.79,-2.12,-0.89
47,59150368,-0.43,-0.28,0.33,-0.1,0.6,0.16,0.12,-0.09,-0.63,0.48,0.86,0.53,-0.46,0.87,0.31,0.45,0.42,0.13,-1.9,-0.53,0.76,0.01,-0.15,-1.0,0.69,-1.4,0.29,0.19,-0.23
48,59150369,0.12,0.08,2.0,-0.1,0.6,0.23,-0.21,-0.09,-0.63,0.16,0.25,0.43,-0.46,-1.17,0.37,0.22,0.29,-0.95,-1.53,-1.13,0.87,0.07,-0.15,-0.28,0.29,-1.4,0.03,0.1,-0.51
49,59150371,1.04,0.44,0.67,-0.1,0.04,-0.09,-1.01,-0.09,2.1,-0.34,0.38,-0.05,-0.46,-0.27,0.24,0.25,0.55,-1.57,-1.96,-0.16,1.41,-0.8,-0.15,-1.42,0.02,0.24,0.99,0.1,-1.05
50,59150373,0.99,-1.16,-1.64,-0.1,0.6,-0.17,-2.02,-0.09,-0.63,-0.15,0.27,-0.61,-0.46,-1.17,0.15,-0.79,-0.36,-0.52,-2.51,-0.31,-1.28,-0.8,-0.15,-1.23,-0.53,0.4,0.92,0.69,-0.66
51,59150375,-0.28,-0.12,-0.4,-0.1,0.01,0.27,-0.14,-0.09,-0.63,0.79,0.88,0.77,0.05,1.36,0.26,-0.73,1.5,-0.37,-0.47,-1.78,0.35,-0.31,-0.15,-0.43,0.38,0.05,0.42,0.6,-0.06
52,59150376,-0.51,-0.56,-1.25,-0.1,0.6,0.08,2.12,-0.09,-0.63,-0.45,-0.08,0.07,0.66,-1.17,0.15,-0.57,0.47,1.11,-0.47,0.07,-0.5,-0.31,-0.15,-1.06,-0.56,-1.4,0.54,0.6,0.51
53,59150377,0.01,-1.2,1.28,-0.1,0.6,-0.02,0.94,-0.09,-0.63,-0.39,0.09,-0.29,-0.46,-1.17,0.32,-1.12,0.13,-1.21,-0.43,-0.31,-0.46,-0.77,-0.15,-0.32,-0.65,-1.4,0.86,0.29,1.25
54,59150378,0.73,0.47,-0.85,-0.1,0.6,0.14,1.79,-0.09,-0.63,-0.18,1.77,-0.42,-0.46,-1.17,0.72,-0.44,-0.03,0.01,0.08,0.44,-0.35,-1.37,-0.15,-1.59,0.11,-0.64,-0.29,-2.34,-0.57
55,59150379,0.99,0.12,0.07,-0.1,-0.31,-0.12,-1.39,-0.09,-0.63,-1.29,1.46,-0.63,-0.46,-0.35,0.21,-0.76,0.31,-0.67,-0.72,-0.64,0.93,-0.8,-0.15,-1.1,0.09,-0.64,0.29,-0.05,0.53
56,59150380,-0.18,-0.28,-1.37,-0.1,0.28,0.11,1.72,-0.09,-0.63,-0.79,5.15,0.14,-0.46,0.6,0.31,-1.27,0.25,-0.57,-0.48,-0.93,1.02,-0.05,-0.15,0.57,0.84,-0.17,0.22,0.81,-0.46
57,59150381,0.65,-1.05,0.41,-0.1,0.6,-0.01,-0.97,-0.09,-0.63,-0.28,0.7,-0.32,-0.46,-1.17,0.26,-0.19,-0.14,0.48,-1.37,-0.04,-0.05,-0.68,-0.15,-0.73,0.29,-0.37,0.54,0.08,-0.55
58,59150382,0.22,1.06,-0.11,-0.1,0.23,0.19,-0.15,-0.09,-0.63,-0.57,0.25,0.55,0.07,-1.17,0.26,-0.48,0.49,-0.27,-0.8,-0.14,0.43,-0.34,-0.15,-1.11,0.07,-1.4,0.22,0.51,-1.61
59,59150383,0.94,1.23,1.17,-0.1,-1.26,0.18,0.62,-0.09,-0.63,-0.32,1.48,0.21,-0.46,0.3,0.24,0.28,-0.09,-0.18,-0.1,-0.77,-0.05,0.18,-0.15,0.36,0.0,-0.15,0.29,-0.81,-1.39
60,59150384,0.3,0.1,-0.01,-0.1,0.17,0.16,1.06,-0.09,-0.63,-0.38,1.43,-0.04,0.13,-1.17,0.21,0.05,0.32,0.82,-0.67,0.27,-0.36,0.17,-0.15,0.2,-0.14,0.24,-0.03,-1.2,-0.26
61,59150385,-1.19,-0.59,0.23,-0.1,0.09,0.2,1.91,-0.09,-0.63,0.41,0.37,0.43,-0.06,0.26,0.15,-0.64,0.54,0.55,-0.01,-1.33,-0.62,-0.92,-0.15,0.93,0.99,-1.4,0.61,-0.25,0.5
62,59150386,-0.13,0.46,-0.45,-0.1,-0.97,0.32,-0.13,-0.09,-0.63,-0.4,1.35,0.72,-0.46,-0.08,0.15,0.35,0.91,0.59,-1.23,-0.48,0.15,-0.59,-0.15,0.3,0.47,-1.4,0.35,-0.47,0.63
63,59150387,1.24,-0.59,0.49,-0.1,0.2,0.23,-0.42,-0.09,-0.63,-0.06,2.61,0.53,-0.46,-0.16,0.32,0.02,0.68,-0.12,-0.63,-0.59,3.33,0.25,-0.15,-0.71,1.27,-0.11,0.16,-0.2,-0.25
64,59150388,0.39,0.02,-1.22,-0.1,0.33,0.23,-0.31,-0.09,-0.63,0.03,1.86,0.53,0.43,-0.22,0.31,-0.33,0.9,-0.23,-0.34,-1.23,0.77,-0.31,-0.15,-0.43,0.53,-0.92,0.22,-0.67,0.5
65,59150389,0.65,-0.57,-0.3,-0.1,-0.28,0.34,-0.38,-0.09,-0.63,0.16,2.22,1.08,-0.46,-1.17,0.31,0.13,1.01,0.62,-1.03,-0.79,1.33,-0.48,-0.15,-0.15,1.19,-0.64,0.22,-0.36,0.37
66,59150390,-0.5,1.18,-0.03,-0.1,0.6,0.06,0.31,-0.09,-0.63,0.44,0.09,0.67,-0.46,0.13,0.15,-0.65,1.06,-0.19,-0.56,-0.74,-0.43,-0.31,-0.15,-0.31,0.95,-0.45,0.73,-0.35,0.08
67,59150391,-2.5,1.51,0.44,-0.1,-0.23,0.57,-0.1,-0.09,-0.63,-0.54,0.3,4.14,1.42,-0.16,-3.27,-0.69,2.02,2.37,0.63,-2.3,1.87,1.71,-0.15,-2.2,0.68,0.32,-0.48,1.15,-0.92
68,59150392,-0.13,-2.16,0.2,-0.1,-0.01,0.11,-1.43,-0.09,-0.63,1.9,1.24,0.86,-0.46,1.45,0.26,-0.9,2.16,1.78,-0.89,-1.68,-0.03,-1.2,-0.15,-0.59,1.75,-0.15,0.48,0.22,-0.29
69,59150393,0.73,0.29,0.09,-0.1,-0.28,0.07,-0.69,-0.09,-0.63,0.52,0.12,0.65,-0.46,-1.17,0.04,0.32,0.97,-1.07,-1.73,-0.38,0.87,-0.41,-0.15,-0.77,1.45,0.4,1.31,-0.55,0.13
70,59150394,-0.85,-0.06,-1.09,-0.1,0.6,0.34,1.12,-0.09,-0.63,2.25,0.9,1.39,-0.46,-1.17,0.31,-1.12,1.84,1.09,-0.92,-1.65,1.24,-0.05,-0.15,-1.02,1.77,-0.35,0.35,-0.03,1.0
71,59150395,-0.57,0.38,-0.51,-0.1,-0.15,0.38,0.66,-0.09,-0.63,2.25,1.14,2.02,-0.46,-1.17,0.29,-1.42,2.4,1.7,-0.29,-1.64,0.82,-0.42,-0.15,-0.79,1.62,-0.27,0.29,-0.08,0.2
72,59150396,-2.27,-1.48,-0.9,-0.1,-0.15,0.65,-1.89,-0.09,-0.63,1.11,-0.09,3.75,0.45,0.51,0.2,-0.11,3.33,2.74,0.7,-2.11,3.54,0.94,-0.15,-0.42,0.9,-0.8,-0.67,0.3,3.75
73,59150397,-0.93,-1.2,-0.75,-0.1,0.6,0.31,-1.3,-0.09,-0.63,2.14,-0.33,1.39,-0.46,0.14,0.15,-1.3,2.56,0.57,-0.89,-1.85,-1.52,-0.71,-0.15,-1.0,1.47,-0.21,0.42,-0.48,1.17
74,59150398,0.73,-0.2,-0.72,-0.1,-1.0,0.08,0.01,-0.09,-0.63,1.78,1.18,0.14,-0.46,0.11,0.21,0.1,0.34,0.57,-1.79,-1.45,0.48,-0.61,-0.15,-0.75,1.29,0.62,1.24,-0.59,-0.91
75,59150399,0.22,0.79,0.02,-0.1,0.6,0.47,-0.15,-0.09,-0.63,0.49,3.0,1.34,-0.46,-0.16,0.43,0.61,0.82,-0.33,-0.21,-1.35,0.63,-0.11,-0.15,0.63,1.35,-0.66,-0.16,-0.33,0.42
76,59150400,-0.09,0.55,-0.91,-0.1,-0.31,0.16,-0.62,-0.09,-0.63,0.75,3.48,0.86,-0.46,0.41,0.31,-0.4,1.77,0.2,-0.7,-1.07,0.99,-0.28,-0.15,-1.58,1.27,-0.13,0.48,-0.2,0.78
77,59150401,-0.15,0.85,0.14,-0.1,-0.54,0.3,1.02,-0.09,-0.63,0.34,2.54,1.49,0.19,0.64,0.26,-0.28,0.72,0.67,-0.96,-1.45,1.28,-0.11,-0.15,0.52,1.1,-1.4,0.48,-0.18,0.18
78,59150402,0.07,0.31,0.54,-0.1,0.6,0.21,-0.45,-0.09,-0.63,0.35,1.44,0.45,-0.15,-1.17,0.22,0.36,-0.0,-0.51,-0.63,-0.6,0.51,-0.44,-0.15,-0.01,0.94,-0.09,0.67,-0.56,-0.05
79,59150403,-0.87,0.3,0.75,-0.1,-1.5,0.38,-0.42,-0.09,-0.63,0.35,-0.08,0.86,0.28,-1.17,0.32,-0.64,0.95,-0.05,-0.03,-0.68,0.41,-0.3,-0.15,0.07,0.78,-0.35,0.54,-0.05,0.72
80,59150404,0.56,1.69,-0.32,-0.1,0.23,0.22,-1.01,-0.09,0.84,0.64,1.38,0.77,-0.46,-0.05,0.26,-1.21,0.07,-0.29,-1.37,-1.25,0.38,-0.54,-0.15,-1.01,1.0,-0.31,0.42,-0.07,0.45
81,59150405,1.16,0.1,0.02,-0.1,0.6,0.23,-0.1,-0.09,-0.63,0.33,3.03,1.01,-0.46,-0.1,0.31,-0.27,0.45,-0.09,-0.43,-0.77,1.31,0.27,-0.15,-0.06,1.36,-1.4,0.03,0.57,-0.16
82,59150406,-0.55,-0.15,-0.51,-0.1,0.6,0.36,-1.39,-0.09,-0.63,0.95,-0.37,1.49,-0.46,0.9,0.32,-0.81,1.32,1.08,-0.55,-1.94,0.02,-1.0,-0.15,-0.43,0.92,-1.4,0.61,-0.83,0.9
83,59150407,-0.77,0.59,0.12,-0.1,-0.23,0.23,-0.33,-0.09,-0.63,1.13,0.21,0.84,-0.46,-0.16,0.26,-1.0,1.77,0.17,-0.83,-2.06,1.12,-0.52,-0.15,-0.63,1.52,-0.45,0.42,-0.24,0.04
84,59150408,0.19,-0.94,-0.46,-0.1,-0.17,0.37,-0.26,-0.09,-0.63,0.5,1.57,0.77,-0.46,-0.06,0.32,-0.91,0.86,1.35,0.1,-1.49,0.8,0.09,-0.15,-0.64,0.78,-0.82,-0.16,-0.59,0.56
85,59150409,0.31,0.79,-1.43,-0.1,-0.57,0.07,-0.65,-0.09,-0.63,0.27,-0.18,0.41,-0.46,-1.17,0.34,1.16,1.88,0.11,-0.09,-1.09,1.08,-0.86,-0.15,-0.06,0.77,-0.64,0.35,-0.32,-0.35
86,59150410,0.07,0.49,-0.8,-0.1,-0.6,0.23,-0.1,-0.09,-0.63,0.16,1.93,0.14,-0.46,-0.24,0.26,0.3,0.18,0.39,0.51,-0.14,0.42,-0.18,-0.15,0.56,0.82,-0.57,-0.03,-1.15,-0.09
87,59150412,-0.1,-0.35,-0.9,-0.1,0.6,0.1,1.16,-0.09,-0.63,0.16,2.02,0.43,-0.46,-1.17,0.31,-0.55,1.81,-0.23,-1.53,-0.79,0.51,-0.77,-0.15,-1.48,0.35,-1.4,0.48,-0.72,1.3
88,59150414,-0.36,1.39,-0.3,-0.1,-0.12,0.17,-0.26,-0.09,0.43,1.58,0.79,1.37,-0.46,-1.17,0.32,-1.52,1.1,0.83,-0.93,-1.73,0.9,-0.84,-0.15,-1.63,1.54,0.13,0.29,0.23,0.65
89,59150415,-0.19,1.12,-0.14,-0.1,-0.07,0.26,0.32,-0.09,0.84,0.07,2.19,0.67,-0.17,0.32,0.31,-0.43,0.91,0.35,-0.75,-0.94,0.19,-0.04,-0.15,0.27,0.74,-0.72,0.1,-1.13,-0.55
90,59150416,0.05,0.45,0.14,-0.1,0.17,0.29,-0.93,-0.09,-0.63,0.28,1.35,0.74,1.14,-0.24,0.15,0.07,0.97,-0.07,-0.69,-1.13,-0.3,-0.73,-0.15,-0.7,0.72,0.3,0.8,0.54,1.26
91,59150417,1.17,1.06,-0.12,-0.1,-0.23,0.23,-0.79,-0.09,-0.63,-0.14,1.43,0.01,0.57,0.69,0.26,-0.37,-0.29,-0.09,-0.88,0.2,0.02,0.06,-0.15,0.05,0.03,-1.4,0.35,-0.46,-0.59
92,59150419,0.33,1.56,0.57,-0.1,0.12,0.2,-0.41,-0.09,-0.63,0.1,-0.38,-0.41,0.21,-0.22,0.21,-0.21,0.23,-0.29,-0.21,-0.09,0.37,-0.81,-0.15,1.08,-0.22,-1.4,0.61,0.26,-0.77
93,59150420,-0.54,-1.0,-0.93,-0.1,0.6,0.12,0.08,-0.09,-0.63,1.65,0.01,0.21,-0.46,-0.16,0.32,-0.33,1.49,-0.15,-0.21,-1.3,0.66,-0.61,-0.15,-0.96,0.98,0.01,0.54,0.08,0.19
94,59150421,-1.19,1.32,-1.45,-0.1,-0.28,0.31,-0.75,-0.09,-0.63,-0.22,1.24,1.34,-0.15,-0.25,0.32,-0.81,2.18,0.53,-0.59,-1.83,1.37,-0.66,-0.15,-0.7,1.0,0.01,0.35,0.31,1.19
95,59150422,1.28,-0.57,-0.14,-0.1,0.36,-0.03,0.96,-0.09,1.19,0.03,-0.33,-0.58,-0.21,-0.58,0.46,-0.7,0.09,-0.91,-0.95,0.48,-0.63,-0.72,-0.15,-1.8,-0.36,0.64,0.42,-2.06,-1.11
96,59150423,-0.73,2.37,1.41,-0.1,-0.54,0.16,-0.34,-0.09,-0.63,0.59,0.12,0.86,-0.46,-1.17,0.26,-1.22,1.81,1.42,-1.2,-1.66,0.18,-0.72,-0.15,-1.74,0.85,-0.55,0.35,-0.15,0.35
